stop_lat,stop_lon,stop_name,road,direction,geohash
54.6565592,-5.9168404,"Abbeycentre, Longwood Road",Shore Road,Outbound,gceycmgmx9h5
54.6549145,-5.9197935,"Abbeycentre, Longwood Road",Shore Road,Inbound,gceycm97fyd0
54.6565592,-5.9168404,"Abbeycentre, Shore entrance (Dunnes)",Shore Road,Outbound,gceycmgmx9h5
54.668102,-5.912757,"Abbots Cross, Post Office",,Outbound,gcez12n2ybbf
54.617527,-5.88542,"Airport Road West, Heron Road",,Outbound,gceydnf65ubz
54.617455,-5.885254,"Airport Road West, Heron Road",,Inbound,gceydnf3xxs9
54.6207,-5.93794,"Alexandra Park Ave, Bus Stop",Antrim Road,Outbound,gcey8zkheurn
54.6207,-5.93794,"Alexandra Park Ave, Bus Stop",Antrim Road,Inbound,gcey8zkheurn
54.573208,-5.990468,"Andersonstown, Slievegallion Drive",,Outbound,gcewrwtzgzr6
54.57324,-5.991224,"Andersonstown, Slievegallion Drive",,Inbound,gcewrwv24m78
54.5708178,-5.9256649,"Annadale Embkmnt, Annadale Cr",,Outbound,gcey3nm441b0
54.5709,-5.92587,"Annadale, Wellington Square",Annadale Avenue,Outbound,gcey3nkft1p4
54.5709,-5.92587,"Annadale, Wellington Square",Annadale Avenue,Inbound,gcey3nkft1p4
54.617397,-5.935078,"Antrim Road, Atlantic Avenue",,Inbound,gcey8yy1qstp
54.6631,-5.9472,"Antrim Road, Bellevue",Antrim Road,Outbound,gceybxj7shqk
54.6629,-5.94675,"Antrim Road, Bellevue",Antrim Road,Inbound,gceybxjdqxjg
54.6752,-5.96709,"Antrim Road, Burney's Lane",Antrim Road,Outbound,gcez01qfhsp0
54.675,-5.96649,"Antrim Road, Burney's Lane",Antrim Road,Inbound,gcez01r2fwwx
54.6156,-5.9375,"Antrim Road, Eia Street",Antrim Road,Outbound,gcey8ykqyjz0
54.6262,-5.93797,"Antrim Road, Salisbury Ave",Antrim Road,Outbound,gceybbkhem8x
54.6255,-5.93795,"Antrim Road, Salisbury Ave",Antrim Road,Inbound,gceybbk0eer8
54.6474,-5.93483,"Antrim Road, Serpentine Road",Antrim Road,Outbound,gceybuq2hmwn
54.647,-5.93455,"Antrim Road, Serpentine Road",Antrim Road,Inbound,gceybuntfgnu
54.592474,-5.824567,"Ardcarn Drive, Bus Stop",Dundonald,Outbound,gceye6q8jyb0
54.6145,-5.96617,"Ardoyne, Shops",Crumlin Road,Outbound,gcey8nr8d0tn
54.6143,-5.96553,"Ardoyne, Shops",Crumlin Road,Inbound,gcey8q0p356m
54.5924,-5.78635,"Ballybeen, Culross Drive",Culross Drive,Outbound,gceys64xb2bw
54.5924,-5.78635,"Ballybeen, Culross Drive",Culross Drive,Inbound,gceys64xb2bw
54.59031,-5.792652,"Ballybeen, Enler Centre",,Outbound,gceys1vgt7me
54.59031,-5.792652,"Ballybeen, Enler Centre",,Inbound,gceys1vgt7me
54.5886,-5.79435,"Ballybeen, Rank Road",Rank Road,Outbound,gceys1s9tue6
54.5886,-5.79435,"Ballybeen, Rank Road",Rank Road,Inbound,gceys1s9tue6
54.6771,-5.96143,"Ballyclare Road, Northcott",Ballyclare Road,Outbound,gcez03ej0w5w
54.6778,-5.96156,"Ballyclare Road, Northcott",Ballyclare Road,Inbound,gcez03fcm8dt
54.6881,-5.926138,"Ballyduff, Doagh Road",,Outbound,gcez15stqbxp
54.6881,-5.926138,"Ballyduff, Doagh Road",,Inbound,gcez15stqbxp
54.687073,-5.935015,"Ballyduff, Forthill Drive",,Outbound,gcez0gqr21k1
54.68745,-5.936671,"Ballyduff, Forthill Drive",,Inbound,gcez0gt13x96
54.68776,-5.931584,"Ballyfore Road, Doagh Road",,Outbound,gcez158g2167
54.6098,-5.97009,"Ballygomartin, Glencairn Cres",Ballygomartin Road,Outbound,gcey8jktnud1
54.6098,-5.97009,"Ballygomartin, Glencairn Cres",Ballygomartin Road,Inbound,gcey8jktnud1
54.59512,-5.866976,"Ballyhackamore, Village",,Outbound,gceyd6xz9s18
54.595303,-5.870742,"Ballyhackamore, Village",,Inbound,gceyd6v09y17
54.6907,-5.96243,"Ballyhenry, Ballyearl Way",Ballyhenry(Ballyearl Way),Outbound,gcez0k4k3m3v
54.6902,-5.96235,"Ballyhenry, Ballyearl Way",Ballyhenry(Ballyearl Way),Inbound,gcez0k43e0jw
54.5592,-5.97293,"Balmoral, Finnis Drive",Finnis Drive,Outbound,gcey2h4wksh9
54.5592,-5.97293,"Balmoral, Finnis Drive",Finnis Drive,Inbound,gcey2h4wksh9
54.595097,-5.931518,"Bedford Street, Ulster Hall",,Outbound,gcey948z3xex
54.55081,-5.914239,"Beechill Road, Cedarhurst",,Outbound,gcey36tms0pb
54.55081,-5.914239,"Beechill Road, Cedarhurst",,Inbound,gcey36tms0pb
54.5949,-5.93624,"Belfast, (Europa Buscentre)",Europa Buscentre,Outbound,gcey8ftq7dfx
54.5949,-5.93624,"Belfast, (Europa Buscentre)",Europa Buscentre,Inbound,gcey8ftq7dfx
54.595467,-5.928482,"Belfast, Adelaide St",,Outbound,gcey94g18keq
54.591,-5.93434,"Belfast, Albion Street",Great Victoria Street,Outbound,gcey8cyxxggr
54.591,-5.93434,"Belfast, Albion Street",Great Victoria Street,Inbound,gcey8cyxxggr
54.5975,-5.92734,"Belfast, Chichester Street",Chichester St.,Outbound,gcey955v6zwv
54.597294,-5.932676,"Belfast, City Hall",,Inbound,gcey8gpuq9k0
54.5849,-5.93189,"Belfast, College Green",Botanic Avenue,Outbound,gcey90bs0fy5
54.5853,-5.9326,"Belfast, College Green",Botanic Avenue,Inbound,gcey90bn2mkv
54.59784,-5.93011,"Belfast, Donegall Pl Boots",,Inbound,gcey951z6rj3
54.5969,-5.92854,"Belfast, Donegall Sq East",Donegall Square East,Outbound,gcey954czpb4
54.5969,-5.92854,"Belfast, Donegall Sq East",Donegall Square East,Inbound,gcey954czpb4
54.5973,-5.93111,"Belfast, Donegall Sq North",Donegall Square North,Outbound,gcey951h747u
54.596,-5.92902,"Belfast, Donegall Sq South",Donegall Square South,Inbound,gcey94fsgb43
54.5971,-5.93169,"Belfast, Donegall Sq West",Donegall Square West,Outbound,gcey950ejt57
54.5971,-5.93169,"Belfast, Donegall Sq West",Donegall Square West,Inbound,gcey950ejt57
54.5957,-5.91674,"Belfast, East Bridge St Central Stn",East Bridge Street,Outbound,gcey96ge1bnu
54.5955,-5.91786,"Belfast, East Bridge St Central Stn",East Bridge Street,Inbound,gcey96f9zfgg
54.5943,-5.9342,"Belfast, Great Northern Mall",Great Victoria Street,Outbound,gcey8fwfg55u
54.5946,-5.93456,"Belfast, Great Northern Mall",Great Victoria Street,Inbound,gcey8fwsdep6
54.5958,-5.93225,"Belfast, Howard Street",Howard St.,Outbound,gcey94b78dcb
54.5958,-5.93225,"Belfast, Howard Street",Howard St.,Inbound,gcey94b78dcb
54.5973,-5.92134,"Belfast, Oxford Street",Oxford Street,Inbound,gcey970hqf2u
54.5987,-5.9332,"Belfast, Queen Street",Queen Street,Outbound,gcey8grs6rm7
54.6009,-5.92378,"Belfast, Queens Square Albert Clock",Queens Square,Outbound,gcey95y3mcmr
54.5965,-5.93308,"Belfast, Upper Queen Street",Upper Queen Street,Outbound,gcey8fzxtjqb
54.5973,-5.93262,"Belfast, Wellington Place",Wellington Place,Outbound,gcey8gpurfmu
54.5973,-5.9321,"Belfast, Wellington Place",Wellington Place,Inbound,gcey950kk43s
54.6006,-5.8777,"Belmont Rd, Gelston's Corner",Belmont Road,Outbound,gceyd5xzx9t1
54.6003,-5.87642,"Belmont Rd, Gelston's Corner",Belmont Road,Inbound,gceyd78vv3xs
54.56041,-6.030258,"Belsteele Road, Glenwood",,Outbound,gcewqu2vkv9e
54.560497,-6.030022,"Belsteele Road, Glenwood",,Inbound,gcewqu3jfmcd
54.553394,-5.921117,"Belvoir Drive, Bus Stop",Belvoir Road,Outbound,gcey370kecxn
54.553402,-5.924958,"Belvoir Drive, Castlecoole Pk",,Outbound,gcey35jsd7pn
54.551617,-5.932282,"Belvoir Drive, Primary School",,Outbound,gcey34b4py3y
54.551804,-5.931732,"Belvoir Drive, Primary School",,Inbound,gcey34bek9k4
,,"Blacks Road Pk+R, Park and Ride",,Outbound,
,,"Blacks Road Pk+R, Park and Ride",,Inbound,
54.560535,-5.998527,"Blacks Road, St Annes",,Outbound,gcewrs2n0hyh
54.560535,-5.998527,"Blacks Road, St Annes",,Inbound,gcewrs2n0hyh
54.591293,-5.880854,"Bloomfield Road, Roundabout",,Outbound,gceyd4j9q4t7
54.591293,-5.880854,"Bloomfield Road, Roundabout",,Inbound,gceyd4j9q4t7
54.57941,-5.966466,"Boucher Crescent, Retail Park",,Outbound,gcey2pzk572q
54.579697,-5.966436,"Boucher Crescent, Retail Park",,Inbound,gcey2pzmgbyy
54.583,-5.96142,"Boucher Rd, Charles Hurst",Boucher Cres,Outbound,gcey82e10bej
54.583,-5.96142,"Boucher Rd, Charles Hurst",Boucher Cres,Inbound,gcey82e10bej
54.589,-5.93456,"Bradbury Place, Bus stop",Bradbury Place,Outbound,gcey8cwefxpm
54.5887,-5.93511,"Bradbury Place, Bus stop",Bradbury Place,Inbound,gcey8cw4jzjp
54.5801,-5.8497,"Braniel, Farmhurst Green",Woodview Terrace,Outbound,gceydbh2hh5d
54.5804,-5.84903,"Braniel, Farmhurst Green",Farmhurst Green,Inbound,gceydbhcgsp0
54.5609,-6.03573,"Brian's Well Road, Glenkeen",Brianswell Road,Outbound,gcewqssbm2cw
54.5609,-6.03573,"Brian's Well Road, Glenkeen",Brianswell Road,Inbound,gcewqssbm2cw
